formula,target
B0.06 C0.15 Cr0.15 Fe0.39 Co0.09 Y0.02 Mo0.14 ,50.0
Mg0.57 Ni0.26 La0.17 ,45.0
B0.06 C0.15 Cr0.05 Fe0.58 Mo0.14 Er0.02 ,36.0
Al0.24 Sc0.36 Co0.2 Y0.2 ,98.0
Mg0.595 Cu0.229 Ag0.066 Gd0.11 ,47.0
B0.06 C0.15 Fe0.63 Mo0.14 Er0.02 ,59.0
B0.06 C0.12 Cr0.07 Mn0.05 Fe0.56 Mo0.12 Er0.02 ,39.0
B0.19200000000000006 Si0.048000000000000015 Fe0.6624 Nb0.04 Tb0.0576 ,60.0
Be0.2675 Ti0.3 Cu0.0825 Zr0.35 ,159.0
B0.06 C0.15 Cr0.15 Co0.48 Mo0.14 Er0.02 ,85.0
B0.06 C0.15 Cr0.15 Co0.5 Mo0.14 ,76.0
C0.15 Cr0.1 Fe0.64 Mo0.09 Er0.02 ,47.0
Be0.07 Ti0.45 Ni0.15 Cu0.25 Zr0.05 Sn0.03 ,61.0
Be0.18 Ti0.4 Ni0.08 Cu0.09 Zr0.25 ,47.0
B0.19200000000000006 Si0.048000000000000015 Fe0.6528 Nb0.04 Tb0.06720000000000001 ,60.0
B0.22 Fe0.67 Y0.06 W0.05 ,88.0
B0.04 C0.04 Si0.02 P0.1 Fe0.73 Ga0.03 Mo0.04 ,57.0
B0.04 C0.04 Si0.02 P0.1 Fe0.74 Ga0.02 Mo0.04 ,50.0
B0.04 C0.04 Si0.02 P0.1 Fe0.75 Ga0.03 Mo0.02 ,53.5
B0.04 C0.04 Si0.02 P0.1 Fe0.76 Ga0.02 Mo0.02 ,47.5
B0.04 C0.04 Si0.03 P0.1 Fe0.77 Mo0.02 ,41.0
B0.04 C0.04 Si0.03 P0.1 Fe0.78 Mo0.01 ,38.0
B0.04 C0.04 Si0.03 P0.1 Fe0.79 ,34.0
B0.04 C0.04 Si0.03 P0.09 Fe0.76 Mo0.04 ,44.0
B0.04 C0.04 Si0.03 P0.09 Fe0.66 Co0.1 Mo0.04 ,44.0
Be0.225 C0.08 Ti0.14 Ni0.02 Cu0.125 Zr0.41 ,98.0
B0.01 Si0.02 Ti0.5 Ni0.24 Cu0.2 Sn0.03 ,74.0
B0.22 Fe0.66 Y0.06 W0.06 ,84.0
B0.04 C0.04 Si0.03 P0.09 Fe0.56 Co0.2 Mo0.04 ,42.0
B0.15 Cr0.02 Fe0.61 Co0.05 Y0.02 Zr0.08 Mo0.07 ,63.9
B0.15 Al0.01 Fe0.61 Co0.06 Y0.02 Zr0.08 Mo0.07 ,56.1
B0.15 Fe0.61 Co0.07 Y0.02 Zr0.08 Mo0.07 ,11.8
B0.04 C0.04 Si0.03 P0.09 Fe0.46 Co0.3 Mo0.04 ,41.0
Ti0.5 Ni0.075 Cu0.425 ,38.0
Ti0.475 Ni0.075 Cu0.425 Zr0.025 ,47.0
Ti0.43478260869565216 Ni0.2608695652173913 Cu0.2782608695652174 Sn0.026086956521739132 ,73.0
B0.04 C0.04 Si0.03 P0.1 Fe0.74 Mo0.05 ,41.0
Mg0.5 Ni0.3 La0.2 ,57.0
B0.0032262589423481553 Fe0.7967456866320662 Co0.19918642165801656 Nb0.0008416327675690841 ,55.0
Be0.2763819095477387 Ti0.0829145728643216 Ni0.10050251256281408 Cu0.07537688442211055 Zr0.4648241206030151 ,105.0
Be0.275 Ti0.0825 Ni0.1 Cu0.075 Zr0.4675 ,105.0
Be0.2625 Ti0.0962 Ni0.1 Cu0.0875 Zr0.4538 ,117.0
Be0.2625 Ti0.096 Ni0.086 Cu0.1015 Zr0.454 ,117.0
Be0.25 Ti0.11 Ni0.1 Cu0.1 Zr0.44 ,114.0
Al0.24 Sc0.2 Co0.2 Y0.36 ,115.0
Be0.225 C0.02 Ti0.14 Ni0.08 Cu0.125 Zr0.41 ,55.0
Be0.2375 Ti0.1237 Ni0.1 Cu0.1125 Zr0.4263 ,89.0
Be0.225 Ti0.14 Ni0.1 Cu0.125 Zr0.41 ,49.0
Be0.215 Mg0.005 Ti0.15 Ni0.11 Cu0.11 Y0.01 Zr0.4 ,44.0
Be0.225 Ti0.138 Ni0.1 Cu0.125 Zr0.412 ,49.0
Al0.24 Sc0.2 Co0.1 Ni0.1 Y0.36 ,86.0
Ti0.441 Ni0.0706 Cu0.3704 Zr0.098 Sn0.02 ,42.0
Ti0.4320000000000001 Ni0.06911999999999999 Cu0.36288000000000004 Zr0.09600000000000003 Sn0.04 ,49.0
Ti0.441 Ni0.07056 Cu0.37044 Zr0.098 Sn0.02 ,42.0
Ti0.45 Ni0.07200000000000001 Cu0.37799999999999995 Zr0.1 ,39.0
Ti0.4315000000000001 Ni0.0906 Cu0.3624000000000001 Zr0.0959 Sn0.019600000000000003 ,50.0
Be0.2125 Ti0.1512 Ni0.0998 Cu0.1377 Zr0.3988 ,57.0
Be0.2 Ti0.165 Ni0.0975 Cu0.1525 Zr0.385 ,48.0
Be0.2 Mg0.12 Fe0.02 Ni0.06 Cu0.1 Y0.02 Zr0.36 Nb0.12 ,42.0
Be0.2 Mg0.12 Ni0.08 Cu0.1 Y0.02 Zr0.36 Nb0.12 ,80.0
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.07 Nb0.04 ,23.0
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.03 Nb0.08 ,23.0
